Module.Code,Module.Name,Year.Level,Programmes,Pre-requisite,Co-requisite
PHY721,Physics 721,1,BScHons Physical Science 3714,None,None
PHY722,Physics 722,1,BScHons Physical Science 3714,None,None
PHY723,Nuclear Physics 723,1,BScHons Physical Science 3714,None,PHY720
PHY724,Theoretical Materials Science 724,1,BScHons Physical Science 3714,None,None
PHY725,Applied Materials Science 725,1,BScHons Physical Science 3714,PHY724,None
PHY726,Advanced Analytical Techniques 726,1,"BScHons Physical Science 3714, BScHons Computer Science 3735",PHY724,None
POP703,Official Statistics 703,1,BScHons Population Studies 3738,None,None
POP706,Survey Methods 706,1,"BScHons Population Studies 3738, BScHons Statistical Science 3737",None,None
POP707,Demographic Analysis 707,1,"BScHons Population Studies 3738, BScHons Statistical Science 3737",None,None
POP708,Gender Issues and Reproductive Health 708,1,BScHons Population Studies 3738,POP707 or equiv,None
POP709,Social Demography 709,1,BScHons Population Studies 3738,POP707 or equiv,None
POP710,Mathematical Demography and Pop Modelling 710,1,"BScHons Population Studies 3738, BScHons Statistical Science 3737",POP707 + Maths,None
POP761,Research Project  Population Studies  761,1,BScHons Population Studies 3738,None,None
STA501,Applied Statistics 501,1,"BScHons Population Studies 3738, BScHons Medical Bioscience 3721",None,None
STA701,Multivariate Analysis 701,1,BScHons Statistical Science 3737,"STA331, STA332,  STA739 ",None
STA702,Research Methodology 702,1,BScHons Computational Finance 3739,None,STA501
STA705,Theoretical Statistics 705,1,"BScHons Statistical Science 3737, BScHons Computational Finance 3739","STA331, STA332, MAT211",None
STA710,Experimental Design 710,1,BScHons Statistical Science 3737,"STA331, STA332 or equiv",None
STA733,Biostatistics 733,1,"BScHons Population Studies 3738, BScHons Statistical Science 3737","STA331, STA332 or equiv",None
STA736,Statistical Genetics 736,1,BScHons Statistical Science 3737,"STA701, STA733, COF712",None
STA737,Statistical Modelling 737,1,BScHons Statistical Science 3737,None,None
STA738,Applied Analytics 738,1,BScHons Statistical Science 3737,None,None
STA739,Introductory Multivariate Analysis 739,1,BScHons Statistical Science 3737,None,None
STA760,Data Mining I 760,1,"BScHons Statistical Science 3737, BScHons Computer Science 3735","STA331, STA332 or equiv",None
STA761,Honors Project 761,1,"BScHons Statistical Science 3737, BScHons Computational Finance 3739",None,None
STA790,Population Projections 790,1,"BScHons Population Studies 3738, BScHons Statistical Science 3737",POP707 or equiv,None
WAT731,IWRM in Practice 731,1,PGDip IWRM 3880,None,None
WAT732,Water Resources Management 732,1,PGDip IWRM 3880,None,None
WAT733,Spatial Analysis for IWRM 733,1,PGDip IWRM 3880,None,None
WAT734,Environmental Management and Water Regulations 734,1,PGDip IWRM 3880,None,None
WAT735,Water Quality Management 735,1,PGDip IWRM 3880,None,None
WAT736,Aquatic Ecosystems Management 736,1,PGDip IWRM 3880,None,None
WAT737,Environmental Education and Water Security 737,1,PGDip IWRM 3880,None,None
WAT738,Water Demand Management for Sustainable Dev 738,1,PGDip IWRM 3880,None,None
AIM803,Mini-Thesis  Research Project  803,1,MSc Mathematical Science 3849,None,None
AIM811,"Communication Skills, Computing and LaTeX 811",46024,MSc Mathematical Science 3849,None,None
AIM812,Mathematical Problem Solving 812,46024,MSc Mathematical Science 3849,None,None
AIM813,Problem Solving in Physics 813,46024,MSc Mathematical Science 3849,None,None
AIM814,Scientific Software Development in Python 814,46024,MSc Mathematical Science 3849,None,None
AIM815,Experimental Mathematics with SAGE 815,46024,MSc Mathematical Science 3849,None,None
AIM816,Selected Topics in the Mathematical Sciences 816,46024,MSc Mathematical Science 3849,None,None
AIM817,Professional Development and Entrepreneurism 817,46024,MSc Mathematical Science 3849,None,None
AIM818,Advanced Topics in Mathematics Science A 818,46024,MSc Mathematical Science 3849,None,None
AIM819,Advanced Topics in Mathematics Science B 819,46024,MSc Mathematical Science 3849,None,None
AIM820,Advanced Topics in the Mathematical Sciences C 820,46024,MSc Mathematical Science 3849,None,None
AIM821,Advanced Topics in the Mathematical Sciences D 821,46024,MSc Mathematical Science 3849,None,None
AIM822,Advanced Topics in the Mathematical Sciences E 822,46024,MSc Mathematical Science 3849,None,None
COF817,Simulation 817,46024,"MSc Statistical Science 3838, MSc Computational Finance 3093","STA211, STA221, MAT211, MAT221",None
COF818,International Finance 818,46024,MSc Computational Finance 3093,None,None
COF821,Financial Computing 821,46024,MSc Computational Finance 3093,STA331 or equivalent,None
COF826,Theoretical Statistics 826,46024,"MPhil Population Studies 3921, MSc Statistical Science 3838, MSc Computational Finance 3093","STA331, STA332, MAT211, MAT221",None
COF827,Risk Management 827,46024,"MSc Computational Finance 3093, MSc Statistical Science 3838",STA331 or equivalent,None
